stream_id,name,H1,H2,H3,H4,H5,group,coverage,provenance,is_quantitative,is_floor_quantitative
1,Demographic Growth Rates,0.07,0.65,0.70,0.50,0.80,A,90-100%,Owner-mediated census,1,0
2,Spanish America Comparison,0.30,0.85,0.70,0.40,0.60,B,60-80%,Colonial administrative,1,0
3,Spatial-Temporal Correlation,0.20,0.80,0.75,0.30,0.65,C,40-60%,Mixed sources,1,0
4,Plantation Ledger Renaming,0.10,0.80,0.60,0.20,0.55,C,1-5%,Owner-authored ledgers,1,0
5,Archaeological Evidence,0.35,0.70,0.65,0.45,0.60,D,5-15%,Peer-reviewed excavation,0,0
6,DNA Limitations,0.40,0.40,0.40,0.40,0.40,E,0.000017%,Lab-derived,0,0
7,American Genealogical Record,0.45,0.85,0.85,0.75,0.85,F,50-80%,Owner-mediated records,1,0
8,Burial & Birth Records,0.45,0.85,0.85,0.75,0.85,A,50-100%,Owner-mediated records,1,0
9,Physical Burial Evidence,0.35,0.70,0.70,0.60,0.70,G,50-100%,Physical/archaeological,0,0
10,Multi-Gen Birth/Genealogy,0.20,0.85,0.85,0.75,0.85,H,50-80%,Owner-mediated records,1,0
11,Evidence Coverage Metrics,0.40,0.65,0.65,0.60,0.65,I,meta,Meta-evidence,0,0
12,Mechanism Uncertainty,0.35,0.40,0.45,0.40,0.50,J,meta,Meta-evidence,0,0
13,Source Provenance & Enumerator Bias,0.30,0.55,0.55,0.40,0.60,K,90-100%,Meta: oppressor records,0,0
14,Absence of Enslaved Voices,0.30,0.55,0.55,0.40,0.65,K,~0% direct,Meta: silenced population,0,0
15,Sex Ratio Skew & Fertility Strain,0.15,0.70,0.65,0.40,0.75,L,20-40%,Demographic records,1,0
16,Anecdotal vs Systematic Accounts,0.35,0.45,0.50,0.40,0.55,L,<1%,Mixed: planter + WPA,0,0
17,Modern Admixture Constraints,0.30,0.50,0.55,0.40,0.55,M,<0.01%,Lab-derived; granular methods,0,0
18,Genetic Gradients vs Clusters,0.30,0.50,0.55,0.40,0.55,M,<0.01%,Lab-derived; PCA/UMAP/IBD,0,0
19,Cliometric Controversy (Fogel/Engerman Critiques),0.30,0.50,0.55,0.35,0.60,N,50-80%,Academic debates; owner-derived data,0,0
20,Anthropometric Selection Bias (Steckel Heights),0.15,0.65,0.75,0.25,0.80,N,20-50%,Trader manifests; healthier sample bias,1,0
21,Database Imputation Limits (SlaveVoyages),0.20,0.70,0.75,0.30,0.85,N,60-90%,European logs; imputed gaps,1,0
22,Census Schedule Reclassification Patterns,0.15,0.75,0.80,0.25,0.85,N,80-100%,Enumerator/owner-reported; fluidity,1,0
23,Macro-Economic Costs & Systemic Irrationality,0.30,0.50,0.55,0.35,0.60,N,meta,Modern econ studies; Civil War + systemic costs,0,0
24,Modern Cohort Constraints (All of Us / gnomAD v4 LAI),0.30,0.50,0.55,0.40,0.55,O,<0.2% pop sampled,Lab-derived; ~1M+ diverse participants,0,0
25,aDNA Burial Ground Studies (Catoctin/Anson/Chesapeake + expanded),0.35,0.65,0.65,0.55,0.70,P,0.000017% aDNA + physical,Lab-derived aDNA + physical remains; community-engaged,0,0
26,Retracted/Critiqued Claims Meta (symmetric overreach filter),0.40,0.40,0.40,0.40,0.45,N,meta,Symmetric skepticism; flags overreach in ALL narratives,0,0
27,Structural Silence / Erasure Index (absence of enslaved quantitative voice),0.30,0.50,0.55,0.40,0.65,N,meta-structural,Anti-literacy laws + legal non-personhood + near-zero pre-1865 enslaved quantitative testimony vs. volume of owner/enumerator records,0,0
30,NYABG isotope+modification birthplace proxy (Goodman Ch.6),0.55,0.50,0.52,0.52,0.50,P,chemical sample n=32 (13 modified + 19 non-modified subadults); not site-wide,"Goodman et al. NYABG Skeletal Biology Vol.1 Ch.6; k=13 African-born proxy, n=32",1,1
31,Autosomal Native American ancestry ceiling (Bryc et al 2015),0.75,0.10,0.30,0.65,0.45,R,"n=5269 self-identified African-Americans; 0.013% of ~40M AA population; ~0.8% Native American autosomal mean",Bryc et al. AJHG 2015 (23andMe cohort) — genomic proxy independent of owner/enumerator records; falsifies material Indigenous-reclassification only,1,1
